rank,business_name,niche,address,city,state,phone,rating,review_count,email,email_status,google_maps_url,social_or_listing_url,place_id,notes
1,Amor Nails & Spa,nail salon,5510 S I-35 Frontage Rd Suite 130,Austin,TX,(512) 326-8383,4.9,4150,amornailsspallc@gmail.com,VERIFIED,https://maps.google.com/?cid=18106100687138004243&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/amornailsspa/,ChIJ79du3S6zRIYREx1RDKXKRfs,Massive 4150-review nail salon. amornailsalon.com is parked/empty - they have no real site.
2,Albuquerque Ink Tattoo (Central Ave),tattoo shop,2820 Central Ave SE F,Albuquerque,NM,(505) 306-8623,4.8,568,albuquerqueink@gmail.com,VERIFIED,https://maps.google.com/?cid=3268939823680778828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/albuquerqueInkTattoos/,ChIJhc3Rr_kLIocRTPKeNnObXS0,Tattoo shop. Ideal for online deposits + waivers.
3,Wicked Ink Tattoo & Body Piercing,tattoo shop,6162 Clinton Hwy,Knoxville,TN,(865) 219-9800,4.5,585,wicked.inkTN@gmail.com,VERIFIED,https://maps.google.com/?cid=12124540637772124274&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/wickedinktattooknoxville/,ChIJ2c5sPhQ8XIgRchAys3gFQ6g,Established 2003. Phone+FB only currently.
4,Platinum Salon,hair salon,20304 Trout Creek Dr,Tampa,FL,(813) 973-2400,4.8,468,michaelberthelette@gmail.com,VERIFIED,https://maps.google.com/?cid=9466116435128625732&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/platinumsalontampa/,ChIJg7iz7CS3wogRRCpUfr5mXoM,Owner-direct email. platinumsalontampa.com is a parked placeholder.
5,Golden auto detailing,mobile car detailing,122 S Antelope Valley Pkwy,Lincoln,NE,(402) 875-1369,4.8,218,goldenautodetailing2@gmail.com,VERIFIED,https://maps.google.com/?cid=595545542009554820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/goldenautodetailingg/,ChIJwYEzqbe_locRhAcM34PNQwg,Mobile detailer - perfect online booking + deposit fit.
6,Amanda Rachael Photography,photographer,1913 Huguenot Rd # 100,North Chesterfield,VA,(757) 942-5367,4.9,38,amanda@amandarachael.com,VERIFIED,https://maps.google.com/?cid=9117984056358189123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/AmandaRachaelPhotography/,ChIJCVBJvD90sIkRQ7jnqjCWiX4,Maternity/newborn photographer. amandarachael.com appears parked.
7,DOE Tattz & Piercing Shop,tattoo shop,9948 E Washington St,Indianapolis,IN,(317) 258-7283,4.9,1246,,NOT_FOUND,https://maps.google.com/?cid=15013026187209824243&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/doe.tattz/,ChIJ_YXJAJVJa4gR81dHXMb7WNA,1246 reviews. Currently on Booksy (doetatz.booksy.com).
8,Classy Nails Of Tampa,nail salon,3607 W Waters Ave,Tampa,FL,(813) 559-1445,4.8,1377,,NOT_FOUND,https://maps.google.com/?cid=14960747068424672067&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.instagram.com/classynailsoftampa/,ChIJJfQS1dHBwogRQ1PrezFAn88,1377 reviews / 4.8 stars. No public email - DM via IG.
9,New Nem Nail Salon & Bar,nail salon,10300 Southside Blvd Suite 1170A,Jacksonville,FL,(904) 672-7153,4.9,1058,,NOT_FOUND,https://maps.google.com/?cid=10239862989133279135&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/p/New-Nem-Nails-Salon-Bar-100089851606978/,ChIJcXNaoaPL5YgRn2_1ryJNG44,Currently uses 3rd-party booking redirect. No owned site.
10,Famous Hair Salon,hair salon,1010 Cherry St,Philadelphia,PA,(267) 928-2229,4.8,734,,NOT_FOUND,https://maps.google.com/?cid=15821124682675254577&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.yelp.com/biz/famous-hair-salon-philadelphia,ChIJOVVCi5nHxokRMfUFMhPtj9s,Chinatown salon. Phone outreach best.
